org_nm, org_PAC_ID, measure_cd, measure_title, prf_rate, patient_count, FN
BEAVER MEDICAL GROUP PC,547164295,CAHPS_GRP_2,Communication,,,1
CAPE PHYSICIANS ASSOCIATES PA,749333730,CAHPS_GRP_2,Communication,84,263,
ALLIANCE PHYSICIANS INC,840104360,CAHPS_GRP_2,Communication,87,287,
REX HOSPITAL INC,840109864,CAHPS_GRP_2,Communication,87,180,
SCL HEALTH MEDICAL GROUP DENVER LLC,840513552,CAHPS_GRP_2,Communication,83,292,
GRITMAN MEDICAL CENTER INC,941545784,CAHPS_GRP_2,Communication,86,191,
COMMUNITY MEDICAL GROUP LLC,1052612785,CAHPS_GRP_2,Communication,84,301,
"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",1254237779,CAHPS_GRP_2,Communication,,,1
ST MARYS HOSPITAL AND MEDICAL CENTER INC,1557267069,CAHPS_GRP_2,Communication,,,1
ALBANY MEDICAL COLLEGE,1759293111,CAHPS_GRP_2,Communication,86,236,
GROUP HEALTH PLAN INC,1759293954,CAHPS_GRP_2,Communication,89,302,
OHH PHYSICIANS LLC,1759392079,CAHPS_GRP_2,Communication,,,1
UNITED REGIONAL PHYSICIAN GROUP,2163417478,CAHPS_GRP_2,Communication,,,1
MARSHFIELD CLINIC INC,2264345206,CAHPS_GRP_2,Communication,83,244,
SIU PHYSICIANS AND SURGEONS INC,2365352820,CAHPS_GRP_2,Communication,,,1
CHRISTIANA CARE HEALTH INITIATIVES,2466351481,CAHPS_GRP_2,Communication,,,1
HARBOR MEDICAL ASSOCIATES INC,2466356209,CAHPS_GRP_2,Communication,87,250,
SCL HEALTH MEDICAL GROUP - BUTTE LLC,2466633102,CAHPS_GRP_2,Communication,,,1
BOARD OF REGENTS OF THE UNIVERSITY OF OKLAHOMA - OU PHYSICIANS,2860304334,CAHPS_GRP_2,Communication,91,249,
CAMPBELL COUNTY HOSPITAL DISTRICT,2860392529,CAHPS_GRP_2,Communication,82,261,
SUMMIT MEDICAL GROUP PLLC,2860396330,CAHPS_GRP_2,Communication,88,368,
THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,3072422716,CAHPS_GRP_2,Communication,,,1
THE VANCOUVER CLINIC INC PS,3173436490,CAHPS_GRP_2,Communication,85,268,
WESTCHESTER MEDICAL CENTER ADVANCED PHYSICIAN SERVICES PC,3173660776,CAHPS_GRP_2,Communication,88,254,
UTMB FACULTY GROUP PRACTICE,3375456734,CAHPS_GRP_2,Communication,,,1
"UNIVERSITY OF LOUISVILLE PHYSICIANS, INC",3476725599,CAHPS_GRP_2,Communication,90,294,
CITY OF HOPE MEDICAL FOUNDATION,3779751656,CAHPS_GRP_2,Communication,87,207,
BRIGHAM AND WOMENS PHYSICIANS ORGANIZATION INC,3870405988,CAHPS_GRP_2,Communication,88,214,
SUTTER BAY MEDICAL FOUNDATION,4284538778,CAHPS_GRP_2,Communication,88,238,
PATIENT FIRST MARYLAND MEDICAL GROUP PLLC,4385538735,CAHPS_GRP_2,Communication,,,1
"MEDICAL ASSOCIATES OF EAST AL, PC",4486568698,CAHPS_GRP_2,Communication,,,1
SJHMC PHYSICIAN SERVICES C/O DIGNITY HEALTH,4486646197,CAHPS_GRP_2,Communication,88,221,
THE MARY LANNING MEMORIAL HOSPITAL ASSOCIATION,4587575550,CAHPS_GRP_2,Communication,85,211,
LITTLE COMPANY OF MARY HOSPITAL OF INDIANA INC,4587578042,CAHPS_GRP_2,Communication,90,318,
UNIVERSITY OF VIRGINIA PHYSICIANS GROUP,4880590728,CAHPS_GRP_2,Communication,86,252,
KAUAI MEDICAL CLINIC,5092628479,CAHPS_GRP_2,Communication,83,284,
PATIENT FIRST PENNSYLVANIA MEDICAL GROUP PLLC,5193900280,CAHPS_GRP_2,Communication,,,1
KALISPELL REGIONAL MEDICAL CENTER INC,5294644381,CAHPS_GRP_2,Communication,81,284,
"UNIVERSITY HEALTH SYSTEM,INC",5294646378,CAHPS_GRP_2,Communication,89,292,
SUMMIT MEDICAL GROUP PA,5395642276,CAHPS_GRP_2,Communication,86,213,
TRINITY WEST,5496648875,CAHPS_GRP_2,Communication,90,226,
ST VINCENT HOSPITAL-HOSPITAL SISTERS-THIRD ORDER OF ST FRANCIS,5799694675,CAHPS_GRP_2,Communication,86,281,
SWEDISHAMERICAN HOSPITAL,5799698346,CAHPS_GRP_2,Communication,81,256,
PLATTE VALLEY MEDICAL GROUP LLC,5890054100,CAHPS_GRP_2,Communication,,,1
HOLZER CLINIC LLC,5890606008,CAHPS_GRP_2,Communication,90,248,
EISENHOWER MEDICAL CENTER,5890689657,CAHPS_GRP_2,Communication,83,247,
DUBOIS REGIONAL MEDICAL CENTER,5890689715,CAHPS_GRP_2,Communication,,,1
RAPID CITY MEDICAL CENTER LLP,5890691075,CAHPS_GRP_2,Communication,84,336,
MARTIN'S POINT HEALTH CARE,5991776635,CAHPS_GRP_2,Communication,85,244,
GUTHRIE MEDICAL GROUP PC,6002728656,CAHPS_GRP_2,Communication,88,241,
SILICON VALLEY MEDICAL DEVELOPMENT LLC,6103115183,CAHPS_GRP_2,Communication,87,270,
LICKING MEMORIAL PROFESSIONAL CORPORATION,6204740731,CAHPS_GRP_2,Communication,,,1
STRAUB CLINIC AND HOSPITAL,6305759754,CAHPS_GRP_2,Communication,86,300,
"NORTH COAST PROFESSIONAL COMPANY, LLC",6305810201,CAHPS_GRP_2,Communication,93,273,
"THE EVERETT CLINIC, PLLC",6406752153,CAHPS_GRP_2,Communication,86,220,
MONTAGE MEDICAL GROUP,6406901941,CAHPS_GRP_2,Communication,,,1
HEARTLAND REGIONAL MEDICAL CENTER,6709772767,CAHPS_GRP_2,Communication,84,261,
STANFORD HEALTH CARE,6709797491,CAHPS_GRP_2,Communication,,,1
STAMFORD HEALTH MEDICAL GROUP INC,6901099746,CAHPS_GRP_2,Communication,91,246,
"KINGMAN HEALTHCARE, INC",6901791367,CAHPS_GRP_2,Communication,,,1
SOUTHEASTERN REGIONAL PHYSICIAN SERVICES,7012058548,CAHPS_GRP_2,Communication,85,168,
OVERLAKE MEDICAL CLINICS LLC,7012808827,CAHPS_GRP_2,Communication,87,259,
GENESIS HEALTH SYSTEM,7214841436,CAHPS_GRP_2,Communication,89,325,
BEND MEMORIAL CLINIC PC,7214936533,CAHPS_GRP_2,Communication,85,290,
RMH MEDICAL GROUP LLC,7618270729,CAHPS_GRP_2,Communication,84,269,
MERCY HOSPITAL AND MEDICAL CENTER,7618861105,CAHPS_GRP_2,Communication,85,190,
LEXINGTON COUNTY HEALTH SERVICES DISTRICT INC,7618871799,CAHPS_GRP_2,Communication,88,247,
KING COUNTY PUBLIC HOSPITAL DISTRICT NO 2,7618880097,CAHPS_GRP_2,Communication,89,247,
SIGNATURE HEALTHCARE MEDICAL GROUP INC,7719876267,CAHPS_GRP_2,Communication,82,231,
PHYSICIANS REFERRAL SERVICE,7911801410,CAHPS_GRP_2,Communication,,,1
TRINITY HEALTH,7911816020,CAHPS_GRP_2,Communication,83,284,
COMMUNITY CARE PHYSICIANS PC,8022904473,CAHPS_GRP_2,Communication,85,252,
"STERN CARDIOVASCULAR FOUNDATION, INC",8123200540,CAHPS_GRP_2,Communication,87,217,
LAKELAND REGIONAL HEALTH SYSTEMS INC,8325952914,CAHPS_GRP_2,Communication,80,251,
PHOEBE PHYSICIAN GROUP INC,8426112350,CAHPS_GRP_2,Communication,,,1
CHESAPEAKE REGIONAL MEDICAL GROUP,8426113663,CAHPS_GRP_2,Communication,84,175,
MOUNT NITTANY MEDICAL CENTER HEALTH SERVICES INC,8426136797,CAHPS_GRP_2,Communication,90,291,
VIRGINIA HOSPITAL CENTER PHYSICIAN GROUP LLC,8426231119,CAHPS_GRP_2,Communication,85,300,
MICHIGAN PRIMARY CARE PARTNERS P C,8527044551,CAHPS_GRP_2,Communication,,,1
"PHYSICIAN PRIMECARE, INC",8628073236,CAHPS_GRP_2,Communication,88,271,
SACRED HEART HOSPITAL OF THE HOSPITAL SISTERS-3RD ORDER OF ST FRANCIS,8729072418,CAHPS_GRP_2,Communication,88,151,
ALBEMARLE PHYSICIAN SERVICES- SENTARA INC,8729139852,CAHPS_GRP_2,Communication,,,1
"PENN STATE HEALTH COMMUNITY MEDICAL GROUP, LLC",8729351077,CAHPS_GRP_2,Communication,90,282,
"OPTUMCARE NEW MEXICO, LLC",9032125810,CAHPS_GRP_2,Communication,,,1
SOUTHEAST MISSOURI HOSPITAL PHYSICIANS LLC,9133024334,CAHPS_GRP_2,Communication,88,259,
"NORTH OAKS PHYSICIAN GROUP, LLC",9133378870,CAHPS_GRP_2,Communication,89,189,
PRESBYTERIAN HEALTHCARE SERVICES,9234041708,CAHPS_GRP_2,Communication,,,1
SCL HEALTH MEDICAL GROUP - BILLINGS LLC,9638491574,CAHPS_GRP_2,Communication,84,312,
VIRGINIA MASON MEDICAL CENTER,9830002617,CAHPS_GRP_2,Communication,81,260,
WASHINGTON UNIVERSITY,9830008770,CAHPS_GRP_2,Communication,,,1
"COOPERATIVE HEALTHCARE SERVICES, INC.",9830093640,CAHPS_GRP_2,Communication,87,233,
SUTTER VALLEY MEDICAL FOUNDATION,9830094515,CAHPS_GRP_2,Communication,,,1
PATIENT FIRST RICHMOND MEDICAL GROUP PLLC,9931011434,CAHPS_GRP_2,Communication,,,1
USC CARE MEDICAL GROUP INC,446157747,CAHPS_GRP_3,Provider's Rating,86,186,
ASSOCIATION OF UNIVERSITY PHYSICIANS,446162697,CAHPS_GRP_3,Provider's Rating,83,231,
BEAVER MEDICAL GROUP PC,547164295,CAHPS_GRP_3,Provider's Rating,75,224,
CAPE PHYSICIANS ASSOCIATES PA,749333730,CAHPS_GRP_3,Provider's Rating,85,263,
ALLIANCE PHYSICIANS INC,840104360,CAHPS_GRP_3,Provider's Rating,87,284,
REX HOSPITAL INC,840109864,CAHPS_GRP_3,Provider's Rating,84,180,
SCL HEALTH MEDICAL GROUP DENVER LLC,840513552,CAHPS_GRP_3,Provider's Rating,76,286,
GRITMAN MEDICAL CENTER INC,941545784,CAHPS_GRP_3,Provider's Rating,81,186,
COMMUNITY MEDICAL GROUP LLC,1052612785,CAHPS_GRP_3,Provider's Rating,80,295,
"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",1254237779,CAHPS_GRP_3,Provider's Rating,,,1
ST MARYS HOSPITAL AND MEDICAL CENTER INC,1557267069,CAHPS_GRP_3,Provider's Rating,,,1
ALBANY MEDICAL COLLEGE,1759293111,CAHPS_GRP_3,Provider's Rating,81,235,
GROUP HEALTH PLAN INC,1759293954,CAHPS_GRP_3,Provider's Rating,86,302,
OHH PHYSICIANS LLC,1759392079,CAHPS_GRP_3,Provider's Rating,86,131,
UNITED REGIONAL PHYSICIAN GROUP,2163417478,CAHPS_GRP_3,Provider's Rating,76,229,
MARSHFIELD CLINIC INC,2264345206,CAHPS_GRP_3,Provider's Rating,80,242,
SIU PHYSICIANS AND SURGEONS INC,2365352820,CAHPS_GRP_3,Provider's Rating,85,205,
CHRISTIANA CARE HEALTH INITIATIVES,2466351481,CAHPS_GRP_3,Provider's Rating,86,112,
HARBOR MEDICAL ASSOCIATES INC,2466356209,CAHPS_GRP_3,Provider's Rating,85,244,
SCL HEALTH MEDICAL GROUP - BUTTE LLC,2466633102,CAHPS_GRP_3,Provider's Rating,,,1
BOARD OF REGENTS OF THE UNIVERSITY OF OKLAHOMA - OU PHYSICIANS,2860304334,CAHPS_GRP_3,Provider's Rating,89,247,
CAMPBELL COUNTY HOSPITAL DISTRICT,2860392529,CAHPS_GRP_3,Provider's Rating,80,257,
SUMMIT MEDICAL GROUP PLLC,2860396330,CAHPS_GRP_3,Provider's Rating,86,366,
THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,3072422716,CAHPS_GRP_3,Provider's Rating,86,57,
THE VANCOUVER CLINIC INC PS,3173436490,CAHPS_GRP_3,Provider's Rating,82,264,
WESTCHESTER MEDICAL CENTER ADVANCED PHYSICIAN SERVICES PC,3173660776,CAHPS_GRP_3,Provider's Rating,85,252,
UTMB FACULTY GROUP PRACTICE,3375456734,CAHPS_GRP_3,Provider's Rating,,,1
"UNIVERSITY OF LOUISVILLE PHYSICIANS, INC",3476725599,CAHPS_GRP_3,Provider's Rating,86,292,
CITY OF HOPE MEDICAL FOUNDATION,3779751656,CAHPS_GRP_3,Provider's Rating,86,203,
BRIGHAM AND WOMENS PHYSICIANS ORGANIZATION INC,3870405988,CAHPS_GRP_3,Provider's Rating,80,213,
SUTTER BAY MEDICAL FOUNDATION,4284538778,CAHPS_GRP_3,Provider's Rating,86,238,
PATIENT FIRST MARYLAND MEDICAL GROUP PLLC,4385538735,CAHPS_GRP_3,Provider's Rating,,,1
"MEDICAL ASSOCIATES OF EAST AL, PC",4486568698,CAHPS_GRP_3,Provider's Rating,,,1
SJHMC PHYSICIAN SERVICES C/O DIGNITY HEALTH,4486646197,CAHPS_GRP_3,Provider's Rating,85,215,
THE MARY LANNING MEMORIAL HOSPITAL ASSOCIATION,4587575550,CAHPS_GRP_3,Provider's Rating,79,207,
LITTLE COMPANY OF MARY HOSPITAL OF INDIANA INC,4587578042,CAHPS_GRP_3,Provider's Rating,87,310,
UNIVERSITY OF VIRGINIA PHYSICIANS GROUP,4880590728,CAHPS_GRP_3,Provider's Rating,81,250,
KAUAI MEDICAL CLINIC,5092628479,CAHPS_GRP_3,Provider's Rating,80,282,
PATIENT FIRST PENNSYLVANIA MEDICAL GROUP PLLC,5193900280,CAHPS_GRP_3,Provider's Rating,77,71,
KALISPELL REGIONAL MEDICAL CENTER INC,5294644381,CAHPS_GRP_3,Provider's Rating,77,283,
"UNIVERSITY HEALTH SYSTEM,INC",5294646378,CAHPS_GRP_3,Provider's Rating,87,290,
SUMMIT MEDICAL GROUP PA,5395642276,CAHPS_GRP_3,Provider's Rating,84,213,
TRINITY WEST,5496648875,CAHPS_GRP_3,Provider's Rating,88,220,
ST VINCENT HOSPITAL-HOSPITAL SISTERS-THIRD ORDER OF ST FRANCIS,5799694675,CAHPS_GRP_3,Provider's Rating,84,282,
SWEDISHAMERICAN HOSPITAL,5799698346,CAHPS_GRP_3,Provider's Rating,77,250,
PLATTE VALLEY MEDICAL GROUP LLC,5890054100,CAHPS_GRP_3,Provider's Rating,81,142,
HOLZER CLINIC LLC,5890606008,CAHPS_GRP_3,Provider's Rating,85,243,
EISENHOWER MEDICAL CENTER,5890689657,CAHPS_GRP_3,Provider's Rating,78,246,
DUBOIS REGIONAL MEDICAL CENTER,5890689715,CAHPS_GRP_3,Provider's Rating,,,1
RAPID CITY MEDICAL CENTER LLP,5890691075,CAHPS_GRP_3,Provider's Rating,81,334,
MARTIN'S POINT HEALTH CARE,5991776635,CAHPS_GRP_3,Provider's Rating,78,242,
GUTHRIE MEDICAL GROUP PC,6002728656,CAHPS_GRP_3,Provider's Rating,82,235,
SILICON VALLEY MEDICAL DEVELOPMENT LLC,6103115183,CAHPS_GRP_3,Provider's Rating,83,271,
LICKING MEMORIAL PROFESSIONAL CORPORATION,6204740731,CAHPS_GRP_3,Provider's Rating,77,243,
STRAUB CLINIC AND HOSPITAL,6305759754,CAHPS_GRP_3,Provider's Rating,82,300,
"NORTH COAST PROFESSIONAL COMPANY, LLC",6305810201,CAHPS_GRP_3,Provider's Rating,89,269,
"THE EVERETT CLINIC, PLLC",6406752153,CAHPS_GRP_3,Provider's Rating,79,216,
MONTAGE MEDICAL GROUP,6406901941,CAHPS_GRP_3,Provider's Rating,70,254,
HEARTLAND REGIONAL MEDICAL CENTER,6709772767,CAHPS_GRP_3,Provider's Rating,87,254,
STANFORD HEALTH CARE,6709797491,CAHPS_GRP_3,Provider's Rating,86,157,
STAMFORD HEALTH MEDICAL GROUP INC,6901099746,CAHPS_GRP_3,Provider's Rating,88,241,
"KINGMAN HEALTHCARE, INC",6901791367,CAHPS_GRP_3,Provider's Rating,72,236,
SOUTHEASTERN REGIONAL PHYSICIAN SERVICES,7012058548,CAHPS_GRP_3,Provider's Rating,75,165,
OVERLAKE MEDICAL CLINICS LLC,7012808827,CAHPS_GRP_3,Provider's Rating,84,257,
GENESIS HEALTH SYSTEM,7214841436,CAHPS_GRP_3,Provider's Rating,86,324,
BEND MEMORIAL CLINIC PC,7214936533,CAHPS_GRP_3,Provider's Rating,76,291,
RMH MEDICAL GROUP LLC,7618270729,CAHPS_GRP_3,Provider's Rating,81,265,
MERCY HOSPITAL AND MEDICAL CENTER,7618861105,CAHPS_GRP_3,Provider's Rating,76,185,
LEXINGTON COUNTY HEALTH SERVICES DISTRICT INC,7618871799,CAHPS_GRP_3,Provider's Rating,87,242,
KING COUNTY PUBLIC HOSPITAL DISTRICT NO 2,7618880097,CAHPS_GRP_3,Provider's Rating,83,244,
SIGNATURE HEALTHCARE MEDICAL GROUP INC,7719876267,CAHPS_GRP_3,Provider's Rating,78,232,
PHYSICIANS REFERRAL SERVICE,7911801410,CAHPS_GRP_3,Provider's Rating,96,62,
TRINITY HEALTH,7911816020,CAHPS_GRP_3,Provider's Rating,75,281,
COMMUNITY CARE PHYSICIANS PC,8022904473,CAHPS_GRP_3,Provider's Rating,81,248,
"STERN CARDIOVASCULAR FOUNDATION, INC",8123200540,CAHPS_GRP_3,Provider's Rating,85,215,
LAKELAND REGIONAL HEALTH SYSTEMS INC,8325952914,CAHPS_GRP_3,Provider's Rating,78,248,
PHOEBE PHYSICIAN GROUP INC,8426112350,CAHPS_GRP_3,Provider's Rating,85,196,
CHESAPEAKE REGIONAL MEDICAL GROUP,8426113663,CAHPS_GRP_3,Provider's Rating,82,170,
MOUNT NITTANY MEDICAL CENTER HEALTH SERVICES INC,8426136797,CAHPS_GRP_3,Provider's Rating,88,287,
VIRGINIA HOSPITAL CENTER PHYSICIAN GROUP LLC,8426231119,CAHPS_GRP_3,Provider's Rating,80,294,
MICHIGAN PRIMARY CARE PARTNERS P C,8527044551,CAHPS_GRP_3,Provider's Rating,,,1
"PHYSICIAN PRIMECARE, INC",8628073236,CAHPS_GRP_3,Provider's Rating,88,259,
SACRED HEART HOSPITAL OF THE HOSPITAL SISTERS-3RD ORDER OF ST FRANCIS,8729072418,CAHPS_GRP_3,Provider's Rating,86,151,
ALBEMARLE PHYSICIAN SERVICES- SENTARA INC,8729139852,CAHPS_GRP_3,Provider's Rating,,,1
"PENN STATE HEALTH COMMUNITY MEDICAL GROUP, LLC",8729351077,CAHPS_GRP_3,Provider's Rating,87,283,
"OPTUMCARE NEW MEXICO, LLC",9032125810,CAHPS_GRP_3,Provider's Rating,79,238,
SOUTHEAST MISSOURI HOSPITAL PHYSICIANS LLC,9133024334,CAHPS_GRP_3,Provider's Rating,84,251,
"NORTH OAKS PHYSICIAN GROUP, LLC",9133378870,CAHPS_GRP_3,Provider's Rating,89,184,
PRESBYTERIAN HEALTHCARE SERVICES,9234041708,CAHPS_GRP_3,Provider's Rating,,,1
SCL HEALTH MEDICAL GROUP - BILLINGS LLC,9638491574,CAHPS_GRP_3,Provider's Rating,82,306,
VIRGINIA MASON MEDICAL CENTER,9830002617,CAHPS_GRP_3,Provider's Rating,80,257,
WASHINGTON UNIVERSITY,9830008770,CAHPS_GRP_3,Provider's Rating,,,1
"COOPERATIVE HEALTHCARE SERVICES, INC.",9830093640,CAHPS_GRP_3,Provider's Rating,78,231,
SUTTER VALLEY MEDICAL FOUNDATION,9830094515,CAHPS_GRP_3,Provider's Rating,88,234,
PATIENT FIRST RICHMOND MEDICAL GROUP PLLC,9931011434,CAHPS_GRP_3,Provider's Rating,,,1
USC CARE MEDICAL GROUP INC,446157747,CAHPS_GRP_5,Health Promotion and Education,57,216,
ASSOCIATION OF UNIVERSITY PHYSICIANS,446162697,CAHPS_GRP_5,Health Promotion and Education,63,268,
BEAVER MEDICAL GROUP PC,547164295,CAHPS_GRP_5,Health Promotion and Education,44,278,
CAPE PHYSICIANS ASSOCIATES PA,749333730,CAHPS_GRP_5,Health Promotion and Education,65,285,
ALLIANCE PHYSICIANS INC,840104360,CAHPS_GRP_5,Health Promotion and Education,64,311,
REX HOSPITAL INC,840109864,CAHPS_GRP_5,Health Promotion and Education,67,206,
SCL HEALTH MEDICAL GROUP DENVER LLC,840513552,CAHPS_GRP_5,Health Promotion and Education,58,313,
GRITMAN MEDICAL CENTER INC,941545784,CAHPS_GRP_5,Health Promotion and Education,54,209,
COMMUNITY MEDICAL GROUP LLC,1052612785,CAHPS_GRP_5,Health Promotion and Education,58,316,
"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",1254237779,CAHPS_GRP_5,Health Promotion and Education,65,138,
ST MARYS HOSPITAL AND MEDICAL CENTER INC,1557267069,CAHPS_GRP_5,Health Promotion and Education,,,1
ALBANY MEDICAL COLLEGE,1759293111,CAHPS_GRP_5,Health Promotion and Education,62,270,
GROUP HEALTH PLAN INC,1759293954,CAHPS_GRP_5,Health Promotion and Education,58,361,
OHH PHYSICIANS LLC,1759392079,CAHPS_GRP_5,Health Promotion and Education,55,146,
UNITED REGIONAL PHYSICIAN GROUP,2163417478,CAHPS_GRP_5,Health Promotion and Education,60,273,
MARSHFIELD CLINIC INC,2264345206,CAHPS_GRP_5,Health Promotion and Education,65,282,
SIU PHYSICIANS AND SURGEONS INC,2365352820,CAHPS_GRP_5,Health Promotion and Education,60,243,
CHRISTIANA CARE HEALTH INITIATIVES,2466351481,CAHPS_GRP_5,Health Promotion and Education,74,117,
HARBOR MEDICAL ASSOCIATES INC,2466356209,CAHPS_GRP_5,Health Promotion and Education,67,277,
SCL HEALTH MEDICAL GROUP - BUTTE LLC,2466633102,CAHPS_GRP_5,Health Promotion and Education,54,160,
BOARD OF REGENTS OF THE UNIVERSITY OF OKLAHOMA - OU PHYSICIANS,2860304334,CAHPS_GRP_5,Health Promotion and Education,64,275,
CAMPBELL COUNTY HOSPITAL DISTRICT,2860392529,CAHPS_GRP_5,Health Promotion and Education,56,297,
SUMMIT MEDICAL GROUP PLLC,2860396330,CAHPS_GRP_5,Health Promotion and Education,64,374,
THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,3072422716,CAHPS_GRP_5,Health Promotion and Education,,,1
THE VANCOUVER CLINIC INC PS,3173436490,CAHPS_GRP_5,Health Promotion and Education,57,289,
WESTCHESTER MEDICAL CENTER ADVANCED PHYSICIAN SERVICES PC,3173660776,CAHPS_GRP_5,Health Promotion and Education,59,262,
UTMB FACULTY GROUP PRACTICE,3375456734,CAHPS_GRP_5,Health Promotion and Education,59,202,
"UNIVERSITY OF LOUISVILLE PHYSICIANS, INC",3476725599,CAHPS_GRP_5,Health Promotion and Education,59,327,
CITY OF HOPE MEDICAL FOUNDATION,3779751656,CAHPS_GRP_5,Health Promotion and Education,53,224,
BRIGHAM AND WOMENS PHYSICIANS ORGANIZATION INC,3870405988,CAHPS_GRP_5,Health Promotion and Education,67,248,
SUTTER BAY MEDICAL FOUNDATION,4284538778,CAHPS_GRP_5,Health Promotion and Education,57,277,
PATIENT FIRST MARYLAND MEDICAL GROUP PLLC,4385538735,CAHPS_GRP_5,Health Promotion and Education,44,198,
"MEDICAL ASSOCIATES OF EAST AL, PC",4486568698,CAHPS_GRP_5,Health Promotion and Education,,,1
SJHMC PHYSICIAN SERVICES C/O DIGNITY HEALTH,4486646197,CAHPS_GRP_5,Health Promotion and Education,68,246,
THE MARY LANNING MEMORIAL HOSPITAL ASSOCIATION,4587575550,CAHPS_GRP_5,Health Promotion and Education,65,225,
LITTLE COMPANY OF MARY HOSPITAL OF INDIANA INC,4587578042,CAHPS_GRP_5,Health Promotion and Education,62,328,
UNIVERSITY OF VIRGINIA PHYSICIANS GROUP,4880590728,CAHPS_GRP_5,Health Promotion and Education,61,277,
KAUAI MEDICAL CLINIC,5092628479,CAHPS_GRP_5,Health Promotion and Education,56,322,
PATIENT FIRST PENNSYLVANIA MEDICAL GROUP PLLC,5193900280,CAHPS_GRP_5,Health Promotion and Education,,,1
KALISPELL REGIONAL MEDICAL CENTER INC,5294644381,CAHPS_GRP_5,Health Promotion and Education,56,322,
"UNIVERSITY HEALTH SYSTEM,INC",5294646378,CAHPS_GRP_5,Health Promotion and Education,62,309,
SUMMIT MEDICAL GROUP PA,5395642276,CAHPS_GRP_5,Health Promotion and Education,65,245,
TRINITY WEST,5496648875,CAHPS_GRP_5,Health Promotion and Education,57,243,
ST VINCENT HOSPITAL-HOSPITAL SISTERS-THIRD ORDER OF ST FRANCIS,5799694675,CAHPS_GRP_5,Health Promotion and Education,59,313,
SWEDISHAMERICAN HOSPITAL,5799698346,CAHPS_GRP_5,Health Promotion and Education,65,278,
PLATTE VALLEY MEDICAL GROUP LLC,5890054100,CAHPS_GRP_5,Health Promotion and Education,57,157,
HOLZER CLINIC LLC,5890606008,CAHPS_GRP_5,Health Promotion and Education,67,265,
EISENHOWER MEDICAL CENTER,5890689657,CAHPS_GRP_5,Health Promotion and Education,66,273,
DUBOIS REGIONAL MEDICAL CENTER,5890689715,CAHPS_GRP_5,Health Promotion and Education,66,190,
RAPID CITY MEDICAL CENTER LLP,5890691075,CAHPS_GRP_5,Health Promotion and Education,53,369,
MARTIN'S POINT HEALTH CARE,5991776635,CAHPS_GRP_5,Health Promotion and Education,59,279,
GUTHRIE MEDICAL GROUP PC,6002728656,CAHPS_GRP_5,Health Promotion and Education,64,271,
SILICON VALLEY MEDICAL DEVELOPMENT LLC,6103115183,CAHPS_GRP_5,Health Promotion and Education,58,292,
LICKING MEMORIAL PROFESSIONAL CORPORATION,6204740731,CAHPS_GRP_5,Health Promotion and Education,53,272,
STRAUB CLINIC AND HOSPITAL,6305759754,CAHPS_GRP_5,Health Promotion and Education,57,341,
"NORTH COAST PROFESSIONAL COMPANY, LLC",6305810201,CAHPS_GRP_5,Health Promotion and Education,65,291,
"THE EVERETT CLINIC, PLLC",6406752153,CAHPS_GRP_5,Health Promotion and Education,57,261,
MONTAGE MEDICAL GROUP,6406901941,CAHPS_GRP_5,Health Promotion and Education,57,279,
HEARTLAND REGIONAL MEDICAL CENTER,6709772767,CAHPS_GRP_5,Health Promotion and Education,64,286,
